Module                  Size  Used by
mei                   184320  5 mei_hdcp,mei_pxp,mei_me
soundcore              16384  2 snd_ctl_led,snd
rfkill                 40960  8 hp_wmi,iwlmvm,bluetooth,cfg80211
roles                  16384  1 typec_ucsi
intel_pmc_core         81920  0
acpi_tad               20480  0
ac                     16384  0
acpi_pad              184320  0
hid_multitouch         32768  0
serio_raw              16384  0
evdev                  28672  16
dm_mod                221184  0
loop                   36864  0
configfs               69632  1
efi_pstore             12288  0
nfnetlink              20480  5 nft_compat,nf_conntrack_netlink,nf_tables
efivarfs               24576  1
ip_tables              28672  0
x_tables               57344  5 xt_conntrack,nft_compat,xt_addrtype,ip_tables,xt_MASQUERADE
autofs4                57344  2
ext4                 1134592  1
crc16                  12288  2 bluetooth,ext4
mbcache                16384  1 ext4
jbd2                  196608  1 ext4
crc32c_generic         12288  0
hid_logitech_hidpp     69632  0
hid_logitech_dj        40960  0
usbhid                 73728  2 hid_logitech_dj,hid_logitech_hidpp
nouveau              2932736  2
i915                 3956736  19
nvme                   57344  2
mxm_wmi                12288  1 nouveau
nvme_core             196608  3 nvme
crc32_pclmul           12288  0
crc32c_intel           16384  3
t10_pi                 20480  1 nvme_core
drm_exec               16384  1 nouveau
crc64_rocksoft_generic    12288  1
gpu_sched              57344  1 nouveau
drm_buddy              20480  1 i915
crc64_rocksoft         16384  1 t10_pi
ghash_clmulni_intel    16384  0
i2c_algo_bit           12288  2 i915,nouveau
crc_t10dif             16384  1 t10_pi
sha512_ssse3           53248  1
crct10dif_generic      12288  0
drm_display_helper    233472  2 i915,nouveau
sha256_ssse3           32768  0
crct10dif_pclmul       12288  1
crc64                  16384  2 crc64_rocksoft,crc64_rocksoft_generic
hid_generic            12288  0
sha1_ssse3             32768  0
cec                    69632  2 drm_display_helper,i915
crct10dif_common       12288  3 crct10dif_generic,crc_t10dif,crct10dif_pclmul
rc_core                73728  1 cec
i2c_hid_acpi           12288  0
xhci_pci               24576  0
i2c_hid                40960  1 i2c_hid_acpi
drm_ttm_helper         12288  1 nouveau
ttm                   106496  3 drm_ttm_helper,i915,nouveau
aesni_intel           360448  4
hid                   176128  6 i2c_hid,usbhid,hid_multitouch,hid_generic,hid_logitech_dj,hid_logitech_hidpp
xhci_hcd              352256  1 xhci_pci
r8169                 114688  0
sdhci_pci              94208  0
drm_kms_helper        270336  4 drm_display_helper,i915,nouveau
realtek                40960  1
intel_lpss_pci         24576  0
cqhci                  32768  1 sdhci_pci
usbcore               405504  6 xhci_hcd,usbhid,uvcvideo,btusb,xhci_pci,hid_logitech_hidpp
intel_lpss             16384  1 intel_lpss_pci
crypto_simd            16384  1 aesni_intel
sdhci                  90112  1 sdhci_pci
mdio_devres            12288  1 r8169
i2c_i801               36864  0
drm                   806912  21 gpu_sched,i2c_hid,drm_kms_helper,drm_exec,drm_display_helper,drm_buddy,drm_ttm_helper,i915,ttm,nouveau
libphy                237568  3 r8169,mdio_devres,realtek
mmc_core              253952  3 sdhci,cqhci,sdhci_pci
i2c_smbus              16384  1 i2c_i801
cryptd                 28672  2 crypto_simd,ghash_clmulni_intel
idma64                 20480  0
vmd                    24576  0
usb_common             20480  4 xhci_hcd,usbcore,uvcvideo,typec_ucsi
battery                28672  0
video                  77824  2 i915,nouveau
wmi                    40960  5 hp_wmi,video,wmi_bmof,mxm_wmi,nouveau
button                 24576  1 nouveau
